MESS_DATUM,V_N
2015-01-01 00:00:00,5.7373046875
2015-01-01 01:00:00,5.1025390625
2015-01-01 02:00:00,5.671875
2015-01-01 03:00:00,6.40625
2015-01-01 04:00:00,6.78125
2015-01-01 05:00:00,5.33984375
2015-01-01 06:00:00,6.537109375
2015-01-01 07:00:00,5.84375
2015-01-01 08:00:00,5.837890625
2015-01-01 09:00:00,6.25
2015-01-01 10:00:00,3.5966796875
2015-01-01 11:00:00,2.9755859375
2015-01-01 12:00:00,3.4833984375
2015-01-01 13:00:00,3.826171875
2015-01-01 14:00:00,4.2099609375
2015-01-01 15:00:00,4.3330078125
2015-01-01 16:00:00,4.2177734375
2015-01-01 17:00:00,4.482421875
2015-01-01 18:00:00,5.8076171875
2015-01-01 19:00:00,6.607421875
2015-01-01 20:00:00,6.7119140625
2015-01-01 21:00:00,6.7080078125
2015-01-01 22:00:00,6.1103515625
2015-01-01 23:00:00,5.8876953125
2015-01-02 00:00:00,6.2314453125
2015-01-02 01:00:00,6.083984375
2015-01-02 02:00:00,6.421875
2015-01-02 03:00:00,7.017578125
2015-01-02 04:00:00,7.3857421875
2015-01-02 05:00:00,7.421875
2015-01-02 06:00:00,7.9375
2015-01-02 07:00:00,7.921875
2015-01-02 08:00:00,7.875
2015-01-02 09:00:00,7.921875
2015-01-02 10:00:00,7.849609375
2015-01-02 11:00:00,7.37890625
2015-01-02 12:00:00,5.931640625
2015-01-02 13:00:00,6.2666015625
2015-01-02 14:00:00,5.2626953125
2015-01-02 15:00:00,4.0986328125
2015-01-02 16:00:00,5.6328125
2015-01-02 17:00:00,6.2109375
2015-01-02 18:00:00,6.7255859375
2015-01-02 19:00:00,4.7490234375
2015-01-02 20:00:00,6.447265625
2015-01-02 21:00:00,6.1416015625
2015-01-02 22:00:00,6.1259765625
2015-01-02 23:00:00,6.1533203125
2015-01-03 00:00:00,4.8916015625
2015-01-03 01:00:00,5.5126953125
2015-01-03 02:00:00,5.5244140625
2015-01-03 03:00:00,5.2109375
2015-01-03 04:00:00,5.5283203125
2015-01-03 05:00:00,5.158203125
2015-01-03 06:00:00,4.3232421875
2015-01-03 07:00:00,6.037109375
2015-01-03 08:00:00,7.0283203125
2015-01-03 09:00:00,7.150390625
2015-01-03 10:00:00,6.296875
2015-01-03 11:00:00,7.4736328125
2015-01-03 12:00:00,7.2646484375
2015-01-03 13:00:00,7.658203125
2015-01-03 14:00:00,7.595703125
2015-01-03 15:00:00,7.6552734375
2015-01-03 16:00:00,7.744140625
2015-01-03 17:00:00,7.7255859375
2015-01-03 18:00:00,7.6484375
2015-01-03 19:00:00,7.6044921875
2015-01-03 20:00:00,7.7705078125
2015-01-03 21:00:00,7.2939453125
2015-01-03 22:00:00,6.6787109375
2015-01-03 23:00:00,6.240234375
2015-01-04 00:00:00,5.2939453125
2015-01-04 01:00:00,5.201171875
2015-01-04 02:00:00,6.0537109375
2015-01-04 03:00:00,6.8232421875
2015-01-04 04:00:00,6.4921875
2015-01-04 05:00:00,6.7255859375
2015-01-04 06:00:00,6.3671875
2015-01-04 07:00:00,6.576171875
2015-01-04 08:00:00,5.63671875
2015-01-04 09:00:00,4.13671875
2015-01-04 10:00:00,5.2509765625
2015-01-04 11:00:00,5.7236328125
2015-01-04 12:00:00,5.2587890625
2015-01-04 13:00:00,6.40625
2015-01-04 14:00:00,5.751953125
2015-01-04 15:00:00,4.7119140625
2015-01-04 16:00:00,6.0576171875
2015-01-04 17:00:00,5.5986328125
2015-01-04 18:00:00,2.7578125
2015-01-04 19:00:00,2.509765625
2015-01-04 20:00:00,2.689453125
2015-01-04 21:00:00,2.6123046875
2015-01-04 22:00:00,3.42578125
2015-01-04 23:00:00,5.802734375
2015-01-05 00:00:00,6.369140625
2015-01-05 01:00:00,6.7421875
2015-01-05 02:00:00,7.537109375
2015-01-05 03:00:00,7.984375
2015-01-05 04:00:00,6.7255859375
2015-01-05 05:00:00,7.53125
2015-01-05 06:00:00,7.87109375
2015-01-05 07:00:00,7.8984375
2015-01-05 08:00:00,7.9609375
2015-01-05 09:00:00,7.8056640625
2015-01-05 10:00:00,7.9755859375
2015-01-05 11:00:00,7.84765625
2015-01-05 12:00:00,7.70703125
2015-01-05 13:00:00,7.7578125
2015-01-05 14:00:00,6.8720703125
2015-01-05 15:00:00,7.6875
2015-01-05 16:00:00,7.3095703125
2015-01-05 17:00:00,7.8115234375
2015-01-05 18:00:00,7.8115234375
2015-01-05 19:00:00,7.685546875
2015-01-05 20:00:00,7.7421875
2015-01-05 21:00:00,7.9990234375
2015-01-05 22:00:00,7.9873046875
2015-01-05 23:00:00,7.9287109375
2015-01-06 00:00:00,7.9990234375
2015-01-06 01:00:00,7.9365234375
2015-01-06 02:00:00,7.861328125
2015-01-06 03:00:00,7.88671875
2015-01-06 04:00:00,7.759765625
2015-01-06 05:00:00,7.412109375
2015-01-06 06:00:00,7.34765625
2015-01-06 07:00:00,7.361328125
2015-01-06 08:00:00,7.619140625
2015-01-06 09:00:00,7.51171875
2015-01-06 10:00:00,7.6845703125
2015-01-06 11:00:00,7.763671875
2015-01-06 12:00:00,7.5615234375
2015-01-06 13:00:00,7.9560546875
2015-01-06 14:00:00,7.7216796875
2015-01-06 15:00:00,7.7216796875
2015-01-06 16:00:00,7.6357421875
2015-01-06 17:00:00,7.646484375
2015-01-06 18:00:00,7.8662109375
2015-01-06 19:00:00,7.822265625
2015-01-06 20:00:00,7.806640625
2015-01-06 21:00:00,7.931640625
2015-01-06 22:00:00,7.744140625
2015-01-06 23:00:00,7.748046875
2015-01-07 00:00:00,7.8125
2015-01-07 01:00:00,7.99609375
2015-01-07 02:00:00,8.0
2015-01-07 03:00:00,7.9375
2015-01-07 04:00:00,4.63037109375
2015-01-07 05:00:00,5.28466796875
2015-01-07 06:00:00,7.435546875
