Date,FF,N,SunD1,TTT
2020-02-18 10:00:00+00:00,3.6,73.0,1740.0,281.35
2020-02-18 11:00:00+00:00,3.6,74.0,1680.0,281.85
2020-02-18 12:00:00+00:00,3.6,70.0,1440.0,282.25
2020-02-18 13:00:00+00:00,3.6,71.0,1500.0,282.35
2020-02-18 14:00:00+00:00,3.6,71.0,1500.0,282.45
2020-02-18 15:00:00+00:00,3.6,65.0,1800.0,282.15
2020-02-18 16:00:00+00:00,3.09,64.0,1380.0,281.45
2020-02-18 17:00:00+00:00,2.57,62.0,660.0,280.65
2020-02-18 18:00:00+00:00,2.06,61.0,0.0,279.65
2020-02-18 19:00:00+00:00,2.06,60.0,0.0,278.75
2020-02-18 20:00:00+00:00,2.06,62.0,0.0,278.35
2020-02-18 21:00:00+00:00,2.06,70.0,0.0,278.05
2020-02-18 22:00:00+00:00,2.06,76.0,0.0,277.85
2020-02-18 23:00:00+00:00,2.06,85.0,0.0,277.75
2020-02-19 00:00:00+00:00,2.57,97.0,0.0,277.75
2020-02-19 01:00:00+00:00,2.57,99.0,0.0,277.75
2020-02-19 02:00:00+00:00,2.57,100.0,0.0,277.85
2020-02-19 03:00:00+00:00,3.09,100.0,0.0,277.95
2020-02-19 04:00:00+00:00,3.09,100.0,0.0,278.05
2020-02-19 05:00:00+00:00,3.6,99.0,0.0,278.15
2020-02-19 06:00:00+00:00,4.12,95.0,0.0,278.35
2020-02-19 07:00:00+00:00,4.63,93.0,0.0,278.65
2020-02-19 08:00:00+00:00,4.63,92.0,0.0,279.05
2020-02-19 09:00:00+00:00,4.63,83.0,180.0,279.35
2020-02-19 10:00:00+00:00,4.63,85.0,240.0,279.15
2020-02-19 11:00:00+00:00,5.14,83.0,360.0,279.65
2020-02-19 12:00:00+00:00,5.14,74.0,660.0,279.75
2020-02-19 13:00:00+00:00,5.14,75.0,720.0,279.85
2020-02-19 14:00:00+00:00,5.14,77.0,840.0,279.75
2020-02-19 15:00:00+00:00,4.63,79.0,1020.0,279.55
2020-02-19 16:00:00+00:00,4.12,78.0,900.0,279.25
2020-02-19 17:00:00+00:00,3.6,76.0,600.0,278.75
2020-02-19 18:00:00+00:00,3.09,69.0,0.0,278.05
2020-02-19 19:00:00+00:00,3.09,69.0,0.0,277.65
2020-02-19 20:00:00+00:00,2.57,68.0,0.0,277.25
2020-02-19 21:00:00+00:00,2.06,70.0,0.0,277.05
2020-02-19 22:00:00+00:00,2.06,71.0,0.0,276.75
2020-02-19 23:00:00+00:00,2.06,74.0,0.0,276.45
2020-02-20 00:00:00+00:00,2.06,84.0,0.0,276.25
2020-02-20 01:00:00+00:00,2.06,86.0,0.0,276.05
2020-02-20 02:00:00+00:00,2.06,87.0,0.0,275.75
2020-02-20 03:00:00+00:00,2.06,86.0,0.0,275.65
2020-02-20 04:00:00+00:00,2.06,76.0,0.0,275.45
2020-02-20 05:00:00+00:00,2.06,82.0,0.0,275.45
2020-02-20 06:00:00+00:00,2.06,87.0,0.0,275.65
2020-02-20 07:00:00+00:00,2.57,84.0,120.0,276.05
2020-02-20 08:00:00+00:00,2.57,80.0,540.0,276.65
2020-02-20 09:00:00+00:00,2.57,79.0,600.0,277.75
2020-02-20 10:00:00+00:00,2.57,80.0,1080.0,278.95
2020-02-20 11:00:00+00:00,2.57,80.0,1260.0,280.25
2020-02-20 12:00:00+00:00,2.06,67.0,1560.0,281.55
2020-02-20 13:00:00+00:00,2.06,69.0,1680.0,282.45
2020-02-20 14:00:00+00:00,2.06,68.0,1980.0,282.85
2020-02-20 15:00:00+00:00,1.54,66.0,1920.0,282.85
2020-02-20 16:00:00+00:00,1.54,63.0,1500.0,282.65
2020-02-20 17:00:00+00:00,1.54,63.0,840.0,281.95
2020-02-20 18:00:00+00:00,2.06,63.0,0.0,281.15
2020-02-20 19:00:00+00:00,2.06,64.0,0.0,280.85
2020-02-20 20:00:00+00:00,2.57,67.0,0.0,280.25
2020-02-20 21:00:00+00:00,3.09,73.0,0.0,279.85
2020-02-20 22:00:00+00:00,3.09,72.0,0.0,279.75
2020-02-20 23:00:00+00:00,3.09,75.0,0.0,279.65
2020-02-21 00:00:00+00:00,3.6,89.0,0.0,279.15
2020-02-21 01:00:00+00:00,3.6,92.0,0.0,279.05
2020-02-21 02:00:00+00:00,3.6,92.0,0.0,278.85
2020-02-21 03:00:00+00:00,3.09,90.0,0.0,278.85
2020-02-21 04:00:00+00:00,2.57,80.0,0.0,278.35
2020-02-21 05:00:00+00:00,2.57,78.0,0.0,277.85
2020-02-21 06:00:00+00:00,2.57,65.0,0.0,277.55
2020-02-21 07:00:00+00:00,2.06,67.0,180.0,277.65
2020-02-21 08:00:00+00:00,2.06,64.0,720.0,278.05
2020-02-21 09:00:00+00:00,2.06,63.0,960.0,278.85
2020-02-21 10:00:00+00:00,2.06,63.0,1320.0,279.95
2020-02-21 11:00:00+00:00,2.06,63.0,1440.0,280.95
2020-02-21 12:00:00+00:00,2.06,60.0,1860.0,281.35
2020-02-21 13:00:00+00:00,2.06,60.0,1980.0,282.35
2020-02-21 14:00:00+00:00,2.06,53.0,1860.0,282.85
2020-02-21 15:00:00+00:00,2.06,54.0,1800.0,282.75
2020-02-21 16:00:00+00:00,2.06,61.0,1440.0,282.25
2020-02-21 17:00:00+00:00,1.54,61.0,900.0,281.45
2020-02-21 18:00:00+00:00,1.54,61.0,0.0,279.85
2020-02-21 19:00:00+00:00,1.54,63.0,0.0,279.55
2020-02-21 20:00:00+00:00,1.54,62.0,0.0,278.65
2020-02-21 21:00:00+00:00,1.03,62.0,0.0,277.95
2020-02-21 22:00:00+00:00,1.03,61.0,0.0,277.55
2020-02-21 23:00:00+00:00,1.03,61.0,0.0,277.05
2020-02-22 00:00:00+00:00,1.54,83.0,0.0,276.65
2020-02-22 01:00:00+00:00,1.54,86.0,0.0,276.25
2020-02-22 02:00:00+00:00,1.54,90.0,0.0,276.05
2020-02-22 03:00:00+00:00,1.54,85.0,0.0,275.75
2020-02-22 04:00:00+00:00,1.54,71.0,0.0,275.35
2020-02-22 05:00:00+00:00,1.54,70.0,0.0,275.25
2020-02-22 06:00:00+00:00,1.54,61.0,0.0,275.15
2020-02-22 07:00:00+00:00,1.54,61.0,420.0,275.75
2020-02-22 08:00:00+00:00,1.54,63.0,1020.0,276.55
2020-02-22 09:00:00+00:00,2.06,63.0,1860.0,277.85
2020-02-22 10:00:00+00:00,1.54,64.0,2580.0,279.55
2020-02-22 11:00:00+00:00,1.54,63.0,2940.0,281.05
2020-02-22 12:00:00+00:00,2.06,57.0,2700.0,282.55
2020-02-22 13:00:00+00:00,1.54,57.0,2640.0,283.35
2020-02-22 14:00:00+00:00,2.06,56.0,2400.0,284.15
2020-02-22 15:00:00+00:00,1.54,59.0,2040.0,283.95
2020-02-22 16:00:00+00:00,1.54,62.0,1500.0,283.45
2020-02-22 17:00:00+00:00,2.06,60.0,840.0,282.85
2020-02-22 18:00:00+00:00,1.54,54.0,0.0,281.35
2020-02-22 19:00:00+00:00,1.54,55.0,0.0,281.25
2020-02-22 20:00:00+00:00,1.54,59.0,0.0,280.65
2020-02-22 21:00:00+00:00,2.06,59.0,0.0,280.35
2020-02-22 22:00:00+00:00,2.06,61.0,0.0,279.85
2020-02-22 23:00:00+00:00,2.06,64.0,0.0,279.65
2020-02-23 00:00:00+00:00,2.06,69.0,0.0,279.35
2020-02-23 01:00:00+00:00,2.57,77.0,0.0,279.15
2020-02-23 02:00:00+00:00,2.06,78.0,0.0,278.55
2020-02-23 03:00:00+00:00,2.06,75.0,0.0,278.45
2020-02-23 04:00:00+00:00,2.06,70.0,0.0,278.45
2020-02-23 05:00:00+00:00,2.06,64.0,0.0,278.55
2020-02-23 06:00:00+00:00,2.06,59.0,0.0,278.35
2020-02-23 07:00:00+00:00,2.06,61.0,480.0,278.45
2020-02-23 08:00:00+00:00,2.06,62.0,1200.0,278.85
2020-02-23 09:00:00+00:00,2.06,65.0,1680.0,280.25
2020-02-23 10:00:00+00:00,2.06,62.0,2400.0,281.75
2020-02-23 11:00:00+00:00,2.06,60.0,2880.0,283.25
2020-02-23 12:00:00+00:00,2.06,45.0,2580.0,284.85
2020-02-23 13:00:00+00:00,2.57,45.0,3000.0,286.15
2020-02-23 14:00:00+00:00,2.57,43.0,2940.0,286.55
2020-02-23 15:00:00+00:00,2.06,47.0,2580.0,286.65
2020-02-23 16:00:00+00:00,2.06,50.0,1860.0,286.25
2020-02-23 17:00:00+00:00,2.06,53.0,960.0,285.35
2020-02-23 18:00:00+00:00,2.06,46.0,0.0,284.25
2020-02-23 19:00:00+00:00,2.06,48.0,0.0,283.75
2020-02-23 20:00:00+00:00,2.57,46.0,0.0,283.35
2020-02-23 21:00:00+00:00,2.57,42.0,0.0,282.55
2020-02-23 22:00:00+00:00,2.57,57.0,0.0,282.05
2020-02-23 23:00:00+00:00,2.57,59.0,0.0,281.95
2020-02-24 00:00:00+00:00,2.57,70.0,0.0,281.25
2020-02-24 01:00:00+00:00,2.57,70.0,0.0,280.85
2020-02-24 02:00:00+00:00,2.57,77.0,0.0,280.95
2020-02-24 03:00:00+00:00,2.57,72.0,0.0,280.75
2020-02-24 04:00:00+00:00,2.57,61.0,0.0,281.45
2020-02-24 05:00:00+00:00,2.57,61.0,0.0,280.15
2020-02-24 06:00:00+00:00,2.57,37.0,0.0,280.15
2020-02-24 07:00:00+00:00,2.57,40.0,300.0,280.35
2020-02-24 08:00:00+00:00,2.57,38.0,840.0,281.15
2020-02-24 09:00:00+00:00,2.57,32.0,1260.0,282.25
2020-02-24 10:00:00+00:00,2.57,36.0,2100.0,283.35
2020-02-24 11:00:00+00:00,2.57,34.0,2580.0,284.55
2020-02-24 12:00:00+00:00,2.57,26.0,2940.0,285.95
2020-02-24 13:00:00+00:00,2.57,28.0,3360.0,286.75
2020-02-24 14:00:00+00:00,2.06,35.0,3060.0,287.25
2020-02-24 15:00:00+00:00,2.06,37.0,2520.0,287.35
2020-02-24 16:00:00+00:00,2.06,40.0,2100.0,286.55
2020-02-24 17:00:00+00:00,2.06,44.0,1260.0,285.75
2020-02-24 18:00:00+00:00,2.06,38.0,0.0,285.05
2020-02-24 19:00:00+00:00,2.06,41.0,0.0,284.15
2020-02-24 20:00:00+00:00,2.57,40.0,0.0,283.35
2020-02-24 21:00:00+00:00,2.57,34.0,0.0,282.95
2020-02-24 22:00:00+00:00,2.57,34.0,0.0,282.25
2020-02-24 23:00:00+00:00,2.57,37.0,0.0,281.75
2020-02-25 00:00:00+00:00,2.57,64.0,0.0,281.15
2020-02-25 01:00:00+00:00,2.57,74.0,0.0,280.85
2020-02-25 02:00:00+00:00,2.57,75.0,0.0,280.55
2020-02-25 03:00:00+00:00,2.57,75.0,0.0,280.35
2020-02-25 04:00:00+00:00,2.57,54.0,0.0,280.05
2020-02-25 05:00:00+00:00,2.57,55.0,0.0,279.95
2020-02-25 06:00:00+00:00,2.57,47.0,0.0,279.85
2020-02-25 07:00:00+00:00,2.57,50.0,300.0,280.05
2020-02-25 08:00:00+00:00,2.57,53.0,600.0,280.65
2020-02-25 09:00:00+00:00,2.57,54.0,1020.0,281.55
2020-02-25 10:00:00+00:00,2.57,54.0,1260.0,282.55
2020-02-25 11:00:00+00:00,2.57,54.0,1560.0,283.55
2020-02-25 12:00:00+00:00,3.09,55.0,1800.0,283.95
2020-02-25 13:00:00+00:00,3.09,55.0,1980.0,284.55
2020-02-25 14:00:00+00:00,3.09,55.0,1860.0,284.75
2020-02-25 15:00:00+00:00,3.09,55.0,1740.0,284.75
2020-02-25 16:00:00+00:00,3.09,65.0,1260.0,284.35
2020-02-25 17:00:00+00:00,3.09,65.0,780.0,283.65
2020-02-25 18:00:00+00:00,3.09,51.0,0.0,282.75
2020-02-25 19:00:00+00:00,3.09,51.0,0.0,282.55
2020-02-25 20:00:00+00:00,3.6,51.0,0.0,282.05
2020-02-25 21:00:00+00:00,3.6,50.0,0.0,281.55
2020-02-25 22:00:00+00:00,3.6,50.0,0.0,281.05
2020-02-25 23:00:00+00:00,3.6,49.0,0.0,280.75
2020-02-26 00:00:00+00:00,3.6,73.0,0.0,280.35
2020-02-26 01:00:00+00:00,3.6,74.0,0.0,280.15
2020-02-26 02:00:00+00:00,3.09,76.0,0.0,279.85
2020-02-26 03:00:00+00:00,3.09,76.0,0.0,279.75
2020-02-26 04:00:00+00:00,3.09,60.0,0.0,279.45
2020-02-26 05:00:00+00:00,3.09,61.0,0.0,279.35
2020-02-26 06:00:00+00:00,3.09,59.0,0.0,279.35
2020-02-26 07:00:00+00:00,3.09,67.0,240.0,279.65
2020-02-26 08:00:00+00:00,2.57,68.0,720.0,280.15
2020-02-26 09:00:00+00:00,2.57,67.0,1200.0,280.85
2020-02-26 10:00:00+00:00,2.57,66.0,1380.0,281.75
2020-02-26 11:00:00+00:00,3.09,65.0,1560.0,282.75
2020-02-26 12:00:00+00:00,3.6,64.0,1680.0,283.45
2020-02-26 13:00:00+00:00,3.6,56.0,1740.0,283.85
2020-02-26 14:00:00+00:00,3.6,55.0,1800.0,284.25
2020-02-26 15:00:00+00:00,3.6,55.0,1740.0,284.35
2020-02-26 16:00:00+00:00,3.6,57.0,1380.0,283.85
2020-02-26 17:00:00+00:00,3.6,64.0,960.0,283.15
2020-02-26 18:00:00+00:00,3.6,58.0,0.0,282.25
2020-02-26 19:00:00+00:00,3.6,65.0,0.0,281.75
2020-02-26 20:00:00+00:00,3.6,64.0,0.0,281.15
2020-02-26 21:00:00+00:00,3.6,63.0,0.0,280.75
2020-02-26 22:00:00+00:00,3.09,60.0,0.0,280.45
2020-02-26 23:00:00+00:00,3.09,58.0,0.0,279.85
