Date,Price
1451602800000,23.86
1451606400000,22.39
1451610000000,20.59
1451613600000,16.81
1451617200000,17.41
1451620800000,17.02
1451624400000,15.86
1451628000000,18.16
1451631600000,17.73
1451635200000,19.77
1451638800000,23.75
1451642400000,26.03
1451646000000,27.06
1451649600000,26.59
1451653200000,25.0
1451656800000,24.43
1451660400000,28.87
1451664000000,37.44
1451667600000,37.41
1451671200000,35.34
1451674800000,33.07
1451678400000,29.52
1451682000000,30.1
1451685600000,24.57
1451689200000,22.2
1451692800000,16.57
1451696400000,15.35
1451700000000,12.77
1451703600000,11.27
1451707200000,11.91
1451710800000,12.62
1451714400000,13.83
1451718000000,16.12
1451721600000,18.12
1451725200000,19.59
1451728800000,21.07
1451732400000,22.54
1451736000000,19.79
1451739600000,16.9
1451743200000,16.97
1451746800000,19.25
1451750400000,28.01
1451754000000,28.36
1451757600000,26.56
1451761200000,17.38
1451764800000,15.83
1451768400000,16.97
1451772000000,15.31
1451775600000,6.99
1451779200000,-0.01
1451782800000,0.23
1451786400000,4.51
1451790000000,4.12
1451793600000,6.76
1451797200000,0.75
1451800800000,4.27
1451804400000,9.11
1451808000000,15.92
1451811600000,17.06
1451815200000,19.28
1451818800000,20.25
1451822400000,17.66
1451826000000,18.49
1451829600000,16.51
1451833200000,18.76
1451836800000,22.21
1451840400000,26.76
1451844000000,27.08
1451847600000,25.33
1451851200000,22.11
1451854800000,20.91
1451858400000,14.43
1451862000000,13.78
1451865600000,12.77
1451869200000,10.56
1451872800000,3.87
1451876400000,3.2
1451880000000,8.67
1451883600000,18.01
1451887200000,28.52
1451890800000,34.74
1451894400000,33.46
1451898000000,33.24
1451901600000,35.09
1451905200000,35.0
1451908800000,35.0
1451912400000,34.94
1451916000000,34.92
1451919600000,38.0
1451923200000,41.21
1451926800000,42.95
1451930400000,41.96
1451934000000,34.94
1451937600000,30.66
1451941200000,30.0
1451944800000,23.9
1451948400000,25.03
1451952000000,24.42
1451955600000,22.34
1451959200000,21.5
1451962800000,20.0
1451966400000,23.53
1451970000000,28.96
1451973600000,38.32
1451977200000,41.45
1451980800000,40.72
1451984400000,40.66
1451988000000,40.33
1451991600000,38.25
1451995200000,36.98
1451998800000,34.91
1452002400000,33.5
1452006000000,35.1
1452009600000,42.44
1452013200000,42.94
1452016800000,41.74
1452020400000,36.47
1452024000000,33.01
1452027600000,31.75
1452031200000,26.99
1452034800000,26.62
1452038400000,25.58
1452042000000,24.59
1452045600000,22.5
1452049200000,23.16
